x,y,z
-0.00826,0.00481,-0.04142
0.02083,-0.05502,-0.01852
0.03265,-0.00759,0.03145
-0.00395,0.06378,0.00610
-0.03968,0.01439,0.00000
-0.05372,-0.01182,-0.04848
0.00873,-0.04545,-0.01274
-0.03896,0.02506,0.00000
-0.07658,0.02934,-0.01935
-0.00976,-0.02850,-0.10526
0.05419,0.01956,0.11029
-0.03271,0.02638,0.00662
-0.03382,0.01869,0.00000
0.06500,0.01605,0.01316
0.00469,-0.00226,0.02597
-0.03271,-0.00226,0.00000
0.14010,0.04989,-0.03797
-0.02119,0.02376,-0.06579
-0.07359,-0.05907,-0.04225
0.00467,0.02018,-0.04412
-0.07907,0.00000,-0.04615
-0.00505,-0.00879,0.02419
0.05076,-0.07095,-0.18110
-0.08696,-0.00563,0.10577
-0.24339,-0.07232,-0.23478
-0.29371,-0.24462,-0.21591
-0.00990,0.14947,0.11594
0.02000,-0.10526,0.32468
0.18627,-0.03460,0.10784
-0.04959,0.01434,-0.13274
-0.03478,-0.07067,-0.02551
0.03604,0.03802,0.02618
-0.01739,-0.05128,0.08163
-0.00885,-0.13514,-0.05660
0.04464,0.10714,0.01000
-0.02564,0.18952,-0.02475
0.12281,0.05424,0.08629
-0.06250,-0.02572,0.05607
0.04167,0.02310,0.03540
-0.02400,-0.02258,-0.04274
-0.04098,0.00660,0.01786
-0.04274,0.01967,0.06140
0.00893,-0.00322,-0.03306
0.00000,-0.00323,0.05268
0.00000,0.02265,-0.02564
0.07965,-0.01582,0.03509
0.06557,0.07395,0.01695
0.00000,0.06587,0.00000
-0.01538,0.03652,0.05000
0.07156,-0.03794,-0.05556
-0.07874,-0.08451,-0.07563
-0.00855,-0.00923,0.00909
-0.02586,-0.01863,-0.09910
-0.09735,-0.01899,-0.02500
0.11765,0.01613,0.07692
-0.00877,0.03175,0.01905
-0.00885,0.01231,0.00000
0.02679,0.02128,-0.00935
-0.00870,0.05952,0.00943
0.15789,0.12360,0.07477
0.12121,0.00500,0.10435
0.05405,0.06219,0.18110
-0.05128,0.00703,0.23333
0.02703,-0.00465,-0.00541
0.17105,0.00000,0.03261
-0.04494,-0.02804,-0.05263
-0.08824,0.00240,-0.02222
0.01290,0.05276,0.20455
0.05096,0.04328,0.11792
-0.05455,0.03057,-0.10127
-0.17308,-0.11441,-0.15962
0.04651,0.06938,0.06145
0.07407,0.04698,0.00000
-0.01379,0.02350,0.03158
0.02098,-0.01670,0.02551
0.04110,0.01274,-0.04478
0.05921,-0.03983,0.02083
-0.01863,0.01965,-0.02041
0.01266,0.01071,-0.04167
-0.01875,-0.09110,-0.05978
0.00000,0.01399,-0.01156
0.06369,0.02176,-0.01170
0.03593,-0.02074,0.01183
-0.10405,-0.04706,0.04094
-0.07097,0.00000,-0.03933
0.02778,-0.01481,-0.01754
-0.07432,-0.02506,-0.10119
-0.03650,0.04627,0.00000
0.03788,0.06634,0.06623
-0.00730,-0.01382,0.00000
0.04412,-0.01168,-0.01863
