date;ticker;price
01/09/2018;BBRI;2.858.707.520
01/10/2018;BBRI;2.858.707.520
01/11/2018;BBRI;3.285.244.629
01/12/2018;BBRI;3.321.545.654
01/01/2019;BBRI;3.493.975.586
01/02/2019;BBRI;3.493.975.586
01/03/2019;BBRI;3.729.932.373
01/04/2019;BBRI;3.965.889.160
01/05/2019;BBRI;3.720.857.178
01/06/2019;BBRI;4.097.484.863
01/07/2019;BBRI;4.210.259.277
01/08/2019;BBRI;4.012.903.320
01/09/2019;BBRI;3.871.935.059
01/10/2019;BBRI;3.956.516.113
01/11/2019;BBRI;3.843.741.455
01/12/2019;BBRI;4.135.076.172
01/01/2020;BBRI;4.191.463.867
01/02/2020;BBRI;3.937.720.215
01/03/2020;BBRI;2.948.882.080
01/04/2020;BBRI;2.665.711.426
01/05/2020;BBRI;2.880.530.518
01/06/2020;BBRI;2.958.646.729
01/07/2020;BBRI;3.085.585.205
01/08/2020;BBRI;3.427.343.262
01/09/2020;BBRI;2.968.411.133
01/10/2020;BBRI;3.280.875.488
01/11/2020;BBRI;3.993.684.814
01/12/2020;BBRI;4.071.800.781
01/01/2021;BBRI;4.081.565.430
01/02/2021;BBRI;4.599.084.473
01/03/2021;BBRI;4.296.384.766
01/04/2021;BBRI;3.954.626.709
01/05/2021;BBRI;4.260.000.000
01/06/2021;BBRI;4.230.000.000
