Date;Ticker;Price;;;;
01/02/2021;BBRI;4.364.736.328;;;;
08/02/2021;BBRI;4.569.791.016;;;;
15/02/2021;BBRI;4.677.200.684;;;;
22/02/2021;BBRI;4.599.084.473;;;;
01/03/2021;BBRI;4.657.671.387;;;;
08/03/2021;BBRI;4.472.145.996;;;;
15/03/2021;BBRI;4.560.026.367;;;;
22/03/2021;BBRI;4.608.849.121;;;;
29/03/2021;BBRI;4.188.975.098;;;;
05/04/2021;BBRI;4.247.562.012;;;;
12/04/2021;BBRI;4.340.000.000;;;;
19/04/2021;BBRI;4.250.000.000;;;;
26/04/2021;BBRI;4.050.000.000;;;;
03/05/2021;BBRI;4.050.000.000;;;;
10/05/2021;BBRI;3.990.000.000;;;;
17/05/2021;BBRI;3.890.000.000;;;;
24/05/2021;BBRI;4.070.000.000;;;;
31/05/2021;BBRI;4.340.000.000;;;;
07/06/2021;BBRI;4.280.000.000;;;;
14/06/2021;BBRI;4.230.000.000;;;;
15/06/2020;LSIP;807.638.184;;;;
22/06/2020;LSIP;812.562.805;;;;
29/06/2020;LSIP;847.035.156;;;;
06/07/2020;LSIP;832.261.292;;;;
13/07/2020;LSIP;930.753.784;;;;
20/07/2020;LSIP;980.000.000;;;;
27/07/2020;LSIP;975.075.378;;;;
03/08/2020;LSIP;995.000.000;;;;
10/08/2020;LSIP;995.000.000;;;;
17/08/2020;LSIP;985.000.000;;;;
24/08/2020;LSIP;980.000.000;;;;
31/08/2020;LSIP;1.040.000.000;;;;
07/09/2020;LSIP;940.000.000;;;;
14/09/2020;LSIP;1.015.000.000;;;;
21/09/2020;LSIP;925.000.000;;;;
28/09/2020;LSIP;920.000.000;;;;
05/10/2020;LSIP;940.000.000;;;;
12/10/2020;LSIP;925.000.000;;;;
19/10/2020;LSIP;935.000.000;;;;
26/10/2020;LSIP;980.000.000;;;;
02/11/2020;LSIP;1.005.000.000;;;;
09/11/2020;LSIP;1.090.000.000;;;;
16/11/2020;LSIP;1.125.000.000;;;;
23/11/2020;LSIP;1.170.000.000;;;;
30/11/2020;LSIP;1.205.000.000;;;;
07/12/2020;LSIP;1.215.000.000;;;;
14/12/2020;LSIP;1.270.000.000;;;;
21/12/2020;LSIP;1.295.000.000;;;;
28/12/2020;LSIP;1.375.000.000;;;;
04/01/2021;LSIP;1.470.000.000;;;;
11/01/2021;LSIP;1.345.000.000;;;;
18/01/2021;LSIP;1.275.000.000;;;;
25/01/2021;LSIP;1.335.000.000;;;;
01/02/2021;LSIP;1.320.000.000;;;;
08/02/2021;LSIP;1.340.000.000;;;;
15/02/2021;LSIP;1.285.000.000;;;;
22/02/2021;LSIP;1.325.000.000;;;;
01/03/2021;LSIP;1.320.000.000;;;;
08/03/2021;LSIP;1.500.000.000;;;;
15/03/2021;LSIP;1.390.000.000;;;;
22/03/2021;LSIP;1.375.000.000;;;;
29/03/2021;LSIP;1.325.000.000;;;;
05/04/2021;LSIP;1.320.000.000;;;;
12/04/2021;LSIP;1.305.000.000;;;;
19/04/2021;LSIP;1.315.000.000;;;;
26/04/2021;LSIP;1.305.000.000;;;;
03/05/2021;LSIP;1.345.000.000;;;;
10/05/2021;LSIP;1.385.000.000;;;;
17/05/2021;LSIP;1.300.000.000;;;;
24/05/2021;LSIP;1.190.000.000;;;;
31/05/2021;LSIP;1.225.000.000;;;;
07/06/2021;LSIP;1.225.000.000;;;;
14/06/2021;LSIP;1.110.000.000;;;;
