date,ticker,price
2016-06-13,RALS,770.094788
2016-06-20,RALS,833.914734
2016-06-27,RALS,880.716125
2016-07-04,RALS,880.716125
2016-07-11,RALS,880.716125
2016-07-18,RALS,944.536072
2016-07-25,RALS,1033.884277
2016-08-01,RALS,1004.101379
2016-08-08,RALS,1050.902954
2016-08-15,RALS,1118.977417
2016-08-22,RALS,1080.685547
2016-08-29,RALS,1029.629517
2016-09-05,RALS,982.828186
2016-09-12,RALS,1050.902954
2016-09-19,RALS,987.082825
2016-09-26,RALS,936.026794
2016-10-03,RALS,999.846802
2016-10-10,RALS,999.846802
2016-10-17,RALS,1097.704102
2016-10-24,RALS,1106.213501
2016-10-31,RALS,1084.940186
2016-11-07,RALS,1089.194824
2016-11-14,RALS,1055.157349
2016-11-21,RALS,1004.101379
2016-11-28,RALS,995.592163
2016-12-05,RALS,1016.865479
2016-12-12,RALS,982.828186
2016-12-19,RALS,961.554749
2016-12-26,RALS,1016.865479
2017-01-02,RALS,1046.648193
2017-01-09,RALS,1046.648193
2017-01-16,RALS,1046.648193
2017-01-23,RALS,1157.269409
2017-01-30,RALS,1242.362793
2017-02-06,RALS,1187.052002
2017-02-13,RALS,1110.468262
2017-02-20,RALS,1114.722778
2017-02-27,RALS,1008.356018
2017-03-06,RALS,1016.865479
2017-03-13,RALS,978.573486
2017-03-20,RALS,982.828186
2017-03-27,RALS,948.79071
2017-04-03,RALS,978.573486
2017-04-10,RALS,982.828186
2017-04-17,RALS,957.30011
2017-04-24,RALS,1084.940186
2017-05-01,RALS,1123.232178
2017-05-08,RALS,1165.778931
2017-05-15,RALS,1135.996094
2017-05-22,RALS,1063.66687
2017-05-29,RALS,1163.974609
2017-06-05,RALS,1137.719727
2017-06-12,RALS,1093.96106
2017-06-19,RALS,1072.081909
2017-06-26,RALS,1072.081909
2017-07-03,RALS,945.182434
2017-07-10,RALS,936.430725
2017-07-17,RALS,897.048096
2017-07-24,RALS,827.034668
2017-07-31,RALS,783.276123
2017-08-07,RALS,827.034668
2017-08-14,RALS,875.168884
2017-08-21,RALS,914.551514
2017-08-28,RALS,883.920593
2017-09-04,RALS,813.907043
2017-09-11,RALS,831.410522
2017-09-18,RALS,818.282898
2017-09-25,RALS,787.651978
2017-10-02,RALS,844.537964
2017-10-09,RALS,818.282898
2017-10-16,RALS,761.396973
2017-10-23,RALS,770.148682
2017-10-30,RALS,783.276123
2017-11-06,RALS,809.531189
2017-11-13,RALS,853.289673
2017-11-20,RALS,818.282898
2017-11-27,RALS,875.168884
2017-12-04,RALS,888.296448
2017-12-11,RALS,945.182434
2017-12-18,RALS,883.920593
2017-12-25,RALS,1050.202637
2018-01-01,RALS,958.309937
2018-01-08,RALS,1063.3302
2018-01-15,RALS,1085.209351
2018-01-22,RALS,1037.075195
2018-01-29,RALS,1067.706177
2018-02-05,RALS,1006.444275
2018-02-12,RALS,1041.450928
2018-02-19,RALS,997.692566
2018-02-26,RALS,1107.088745
2018-03-05,RALS,1063.3302
2018-03-12,RALS,1102.712769
2018-03-19,RALS,1102.712769
2018-03-26,RALS,1181.478027
2018-04-02,RALS,1155.2229
2018-04-09,RALS,1251.491577
2018-04-16,RALS,1260.243164
2018-04-23,RALS,1233.988159
2018-04-30,RALS,1216.484741
2018-05-07,RALS,1190.229736
2018-05-14,RALS,1172.726318
2018-05-21,RALS,1212.108887
2018-05-28,RALS,1194.605591
2018-06-04,RALS,1304.001709
2018-06-11,RALS,1340.098633
2018-06-18,RALS,1281.637939
2018-06-25,RALS,1340.098633
2018-07-02,RALS,1196.195435
2018-07-09,RALS,1164.716675
2018-07-16,RALS,1295.128784
2018-07-23,RALS,1299.625854
2018-07-30,RALS,1187.201416
2018-08-06,RALS,1223.177368
2018-08-13,RALS,1070.280029
2018-08-20,RALS,1173.710571
2018-08-27,RALS,1142.231689
2018-09-03,RALS,1133.237793
2018-09-10,RALS,1205.189331
2018-09-17,RALS,1214.18335
2018-09-24,RALS,1169.213623
2018-10-01,RALS,1115.249756
2018-10-08,RALS,1070.280029
2018-10-15,RALS,1074.7771
2018-10-22,RALS,1056.789185
2018-10-29,RALS,1034.304321
2018-11-05,RALS,1146.72876
2018-11-12,RALS,1196.195435
2018-11-19,RALS,1142.231689
2018-11-26,RALS,1070.280029
2018-12-03,RALS,1218.680298
2018-12-10,RALS,1218.680298
2018-12-17,RALS,1286.13501
2018-12-24,RALS,1277.140991
2018-12-31,RALS,1286.13501
2019-01-07,RALS,1367.080444
2019-01-14,RALS,1371.577393
2019-01-21,RALS,1475.007813
2019-01-28,RALS,1528.97168
2019-02-04,RALS,1506.486694
2019-02-11,RALS,1623.408081
2019-02-18,RALS,1510.983765
2019-02-25,RALS,1546.959473
2019-03-04,RALS,1555.953369
2019-03-11,RALS,1618.911133
2019-03-18,RALS,1551.456421
2019-03-25,RALS,1573.941406
2019-04-01,RALS,1587.432373
2019-04-08,RALS,1618.911133
2019-04-15,RALS,1641.395996
2019-04-22,RALS,1555.953369
2019-04-29,RALS,1591.929321
2019-05-06,RALS,1591.929321
2019-05-13,RALS,1528.97168
2019-05-20,RALS,1380.571411
2019-05-27,RALS,1457.02002
2019-06-03,RALS,1457.02002
2019-06-10,RALS,1335.601685
2019-06-17,RALS,1375
2019-06-24,RALS,1305.555542
2019-07-01,RALS,1273.148071
2019-07-08,RALS,1240.740723
2019-07-15,RALS,1203.703735
2019-07-22,RALS,1263.888916
2019-07-29,RALS,1231.481445
2019-08-05,RALS,1212.962891
2019-08-12,RALS,1199.074097
2019-08-19,RALS,1157.407349
2019-08-26,RALS,1120.370361
2019-09-02,RALS,1064.814819
2019-09-09,RALS,1111.111084
2019-09-16,RALS,1120.370361
2019-09-23,RALS,1111.111084
2019-09-30,RALS,1134.259277
2019-10-07,RALS,1171.296265
2019-10-14,RALS,1166.666626
2019-10-21,RALS,1120.370361
2019-10-28,RALS,1060.185181
2019-11-04,RALS,1069.444458
2019-11-11,RALS,1027.77771
2019-11-18,RALS,949.074036
